Data,Hora,Equipe,Liga,Tipo,Ano,Temporada,Simulador,Categoria,Pista,Inicio,Final,Pole,Best Lap,Hat-Trick,Chelem,Campeão,Construtores,Eventos,Transmissão,Já Foi?
07/11/18,20:00,Grip,F1BC,Road,2018,2018/3,Automobilista,Marcas Junior,Interlagos,12,7,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=nwhDJymQRr8,TRUE
14/11/18,20:00,Grip,F1BC,Road,2018,2018/3,Automobilista,Marcas Light,Interlagos,11,9,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=0qHyUWQbmaA,TRUE
21/11/18,20:00,Grip,F1BC,Road,2018,2018/3,Automobilista,Marcas Junior,Cordoba,5,8,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=JBighI8F2t0,TRUE
28/11/18,20:00,Grip,F1BC,Road,2018,2018/3,Automobilista,Marcas Light,Cordoba,13,9,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=tkvZuLLTtZY,TRUE
05/12/18,20:00,Grip,F1BC,Road,2018,2018/3,Automobilista,Marcas Junior,Jacarepagua,8,4,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=FR6_QfDhqIY,TRUE
11/12/18,21:00,Grip,RacersAv,Road,2018,2018/3,Automobilista,250 KM Lancer,Interlagos,4,2,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=r3of6xaXXLc,TRUE
12/12/18,20:00,Grip,F1BC,Road,2018,2018/3,Automobilista,Marcas Light,Jacarepagua,13,DSQ,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=5DsO6OJAIsg,TRUE
17/01/19,22:00,Grip,F1BC,Road,2019,2019/1,Automobilista,Kart Pro,Buskerud,10,5,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=k_8XSBUQdPU,TRUE
17/01/19,22:00,Grip,F1BC,Road,2019,2019/1,Automobilista,Kart Pro,Buskerud,6,7,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=k_8XSBUQdPU,TRUE
22/01/19,20:00,Grip,F1BC,Road,2019,2019/1,Automobilista,Marcas Junior,Goiania,7,8,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=5tjfNtWXOQE,TRUE
23/01/19,20:00,Grip,F1BC,Road,2019,2019/1,Automobilista,Marcas Light,Goiania,10,10,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=yuvkVzXFToI,TRUE
31/01/19,22:00,Grip,F1BC,Road,2019,2019/1,Automobilista,Kart Pro,Floripa,6,6,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=5fvBoao6-UA,TRUE
31/01/19,22:00,Grip,F1BC,Road,2019,2019/1,Automobilista,Kart Pro,Floripa,4,9,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=5fvBoao6-UA,TRUE
05/02/19,20:00,Grip,F1BC,Road,2019,2019/1,Automobilista,Marcas Junior,Campo Grande,19,DNF,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=JIp4fzpPbas,TRUE
06/02/19,20:00,Grip,F1BC,Road,2019,2019/1,Automobilista,Marcas Light,Campo Grande,20,10,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=aWmeZ5vv2aE,TRUE
14/02/19,22:00,Grip,F1BC,Road,2019,2019/1,Automobilista,Kart Pro,Granja Viana,8,5,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=3Cz_9HfW1nY,TRUE
14/02/19,22:00,Grip,F1BC,Road,2019,2019/1,Automobilista,Kart Pro,Granja Viana,6,DNF,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=3Cz_9HfW1nY,TRUE
19/02/19,20:00,Grip,F1BC,Road,2019,2019/1,Automobilista,Marcas Junior,Curitiba,2,7,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=IO7T3licObw,TRUE
20/02/19,20:00,Grip,F1BC,Road,2019,2019/1,Automobilista,Marcas Light,Curitiba,7,12,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=u74007ia97Q,TRUE
28/02/19,22:00,Grip,F1BC,Road,2019,2019/1,Automobilista,Kart Pro,Ortona,3,4,-,SIM,-,-,-,-,-,https://www.youtube.com/watch?v=Q7fWU016sLI,TRUE
12/03/19,20:00,Grip,F1BC,Road,2019,2019/1,Automobilista,Marcas Junior,Santa Cruz do Sul,4,7,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=QS-nm-E0U0w,TRUE
13/03/19,20:00,Grip,F1BC,Road,2019,2019/1,Automobilista,Marcas Light,Santa Cruz do Sul,2,DNF,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=PvjIfUeBmlg,TRUE
21/03/19,22:00,Grip,F1BC,Road,2019,2019/1,Automobilista,Kart Pro,Londrina,10,6,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=U05SPLWeP8Q,TRUE
26/03/19,20:00,Grip,F1BC,Road,2019,2019/1,Automobilista,Marcas Junior,Curvelo,6,DNF,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=hk-xXYYmcWk,TRUE
27/03/19,20:00,Grip,F1BC,Road,2019,2019/1,Automobilista,Marcas Light,Curvelo,8,10,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=G_1pM46Sw-U,TRUE
17/04/19,21:00,Grip,RacersAv,Road,2019,2019/2,Automobilista,Montana,Goiania,5,DNF,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=yLH_FcJWdpc,TRUE
14/05/19,20:00,Grip,F1BC,Road,2019,2019/2,Automobilista,Marcas Junior,Velo Citta,7,2,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=0w6cyB8Y07I,TRUE
16/05/19,20:00,Grip,F1BC,Road,2019,2019/2,RFactor 2,Touring Light,Barcelona,6,9,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=vnjn49NJ-2U,TRUE
28/05/19,20:00,Grip,F1BC,Road,2019,2019/2,Automobilista,Marcas Junior,Londrina,13,11,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=v2N8i2pXMlI,TRUE
30/05/19,20:00,Grip,F1BC,Road,2019,2019/2,RFactor 2,Touring Light,Montreal,5,7,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=ZaeSUZ5E1l0,TRUE
11/06/19,20:00,Grip,F1BC,Road,2019,2019/2,Automobilista,Marcas Junior,Velopark,2,3,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=V7ugSBH_ISk,TRUE
13/06/19,20:00,Grip,F1BC,Road,2019,2019/2,RFactor 2,Touring Light,Paul Ricard,3,1,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=NGfOJAQiAY8,TRUE
14/06/19,22:00,Grip,LPVW,Road,2019,2019/2,Automobilista,Indy 328,Indianapolis,7,5,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=2dmqwnjZ2B4,TRUE
25/06/19,20:00,Grip,F1BC,Road,2019,2019/2,Automobilista,Marcas Junior,Spielberg,11,7,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=G5UbRHUSn3g,TRUE
27/06/19,20:00,Grip,F1BC,Road,2019,2019/2,RFactor 2,Touring Light,Spielberg,4,2,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=QerFylQCYX0,TRUE
09/07/19,20:00,Grip,F1BC,Road,2019,2019/2,Automobilista,Marcas Junior,Jacarepagua,11,5,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=QjfMTGFd3F0,TRUE
11/07/19,20:00,Grip,F1BC,Road,2019,2019/2,RFactor 2,Touring Light,Silverstone,2,1,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=1r9eVzY9jSw,TRUE
23/07/19,20:00,Grip,F1BC,Road,2019,2019/2,Automobilista,Marcas Junior,Buenos Aires,1,3,SIM,-,-,-,-,-,-,https://www.youtube.com/watch?v=db_KdZG2hfw,TRUE
25/07/19,20:00,Grip,F1BC,Road,2019,2019/2,RFactor 2,Touring Light,Hockenhein,3,1,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=6YlosNDlCRU,TRUE
01/08/19,22:00,Grip,F1BC,Road,2019,2019/2,Automobilista,Kart Series,Aldeia da Serra,6,6,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=mauzOF6lXHk,TRUE
01/08/19,22:00,Grip,F1BC,Road,2019,2019/2,Automobilista,Kart Series,Aldeia da Serra,1,4,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=mauzOF6lXHk,TRUE
